location_name;latitude;longitude;street_address;city;region;postal_code;iso_country_code;top_category
Vista Hermosa (Centro Histórico);-0.21910267510684997;-78.51164267408785;;Quito;EC;;EC;Restaurants and Other Eating Places
Fabiolita;-0.2206017583633251;-78.50975909641267;;Quito;EC;;EC;Restaurants and Other Eating Places
La Tradición - Restaurante y Cafetería;-0.22065156366557534;-78.5066084237189;;Quito;EC;;EC;Restaurants and Other Eating Places
Las Menestras Del Negro;-0.21830615891876112;-78.51599885981304;;Quito;EC;;EC;Restaurants and Other Eating Places
El panteón;-0.21824166965163136;-78.51350395454354;;Quito;EC;;EC;Restaurants and Other Eating Places
Chorigol Centro Histórico;-0.21813446685645918;-78.5145007729608;;Quito;EC;;EC;Restaurants and Other Eating Places
Café del Fraile;-0.2213397056494017;-78.51167529300724;;Quito;EC;;EC;Restaurants and Other Eating Places
¡Hasta la Vuelta!, Señor;-0.21958889699394782;-78.51305725364618;;Quito;EC;;EC;Restaurants and Other Eating Places
Notansanto;-0.219668185919486;-78.51108279203723;;Quito;EC;;EC;Restaurants and Other Eating Places
